enum	size	enumerator	value
._167	4	ChannelType_Unknown	0
._167	4	ChannelType_Screen	1
._167	4	ChannelType_World	2
._167	4	ChannelType_GM	3
._167	4	ChannelType_City	4
._167	4	ChannelType_Team	5
._167	4	ChannelType_Tong	6
._167	4	ChannelType_TongUnion	7
._167	4	ChannelType_Faction	8
._167	4	ChannelType_War	9
._167	4	ChannelType_ChatRoom	10
._167	4	ChannelType_Count	11
._196	4	NpcPowerType_Player	0
._196	4	NpcPowerType_Normal	1
._196	4	NpcPowerType_Blue	2
._196	4	NpcPowerType_Gold	3
._216	4	op_none	0
._216	4	op_mark	1
._216	4	op_del_bymark	2
._216	4	op_del_all	3
._216	4	op_level_end	3
._217	4	ret_error	-1
._217	4	ret_normal	0
._217	4	ret_found	1
._217	4	ret_mark_first	2
._217	4	ret_mark_exist	3
._217	4	ret_del_bymark	4
._217	4	ret_del_all	5
._218	4	ret_error	-1
._218	4	ret_normal	0
._218	4	ret_found	1
._218	4	ret_mark_first	2
._218	4	ret_mark_exist	3
._218	4	ret_del_bymark	4
._218	4	ret_del_all	5
._220	4	op_none	0
._220	4	op_mark	1
._220	4	op_del_bymark	2
._220	4	op_del_all	3
._220	4	op_level_end	3
._221	4	ret_error	-1
._221	4	ret_normal	0
._221	4	ret_found	1
._221	4	ret_mark_first	2
._221	4	ret_mark_exist	3
._221	4	ret_del_bymark	4
._221	4	ret_del_all	5
._224	4	op_none	0
._224	4	op_mark	1
._224	4	op_del_bymark	2
._224	4	op_del_all	3
._224	4	op_level_end	3
._225	4	ret_error	-1
._225	4	ret_normal	0
._225	4	ret_found	1
._225	4	ret_mark_first	2
._225	4	ret_mark_exist	3
._225	4	ret_del_bymark	4
._225	4	ret_del_all	5
._240	4	op_none	0
._240	4	op_mark	1
._240	4	op_del_bymark	2
._240	4	op_del_all	3
._240	4	op_level_end	3
._241	4	ret_error	-1
._241	4	ret_normal	0
._241	4	ret_found	1
._241	4	ret_mark_first	2
._241	4	ret_mark_exist	3
._241	4	ret_del_bymark	4
._241	4	ret_del_all	5
._244	4	StatType_LateCache	0
._244	4	StatType_TotalForStart	1
._244	4	StatType_End	2
._257	4	op_none	0
._257	4	op_mark	1
._257	4	op_del_bymark	2
._257	4	op_del_all	3
._257	4	op_level_end	3
._258	4	ret_error	-1
._258	4	ret_normal	0
._258	4	ret_found	1
._258	4	ret_mark_first	2
._258	4	ret_mark_exist	3
._258	4	ret_del_bymark	4
._258	4	ret_del_all	5
._259	4	op_none	0
._259	4	op_mark	1
._259	4	op_del_bymark	2
._259	4	op_del_all	3
._259	4	op_level_end	3
._260	4	ret_error	-1
._260	4	ret_normal	0
._260	4	ret_found	1
._260	4	ret_mark_first	2
._260	4	ret_mark_exist	3
._260	4	ret_del_bymark	4
._260	4	ret_del_all	5
._261	4	StatType_LateCache	0
._261	4	StatType_TotalForStart	1
._261	4	StatType_End	2
._262	4	StatType_LateCache	0
._262	4	StatType_TotalForStart	1
._262	4	StatType_End	2
._264	4	StatType_LateCache	0
._264	4	StatType_TotalForStart	1
._264	4	StatType_End	2
._268	4	op_none	0
._268	4	op_mark	1
._268	4	op_del_bymark	2
._268	4	op_del_all	3
._268	4	op_level_end	3
._269	4	ret_error	-1
._269	4	ret_normal	0
._269	4	ret_found	1
._269	4	ret_mark_first	2
._269	4	ret_mark_exist	3
._269	4	ret_del_bymark	4
._269	4	ret_del_all	5
._282	4	EqResPartPos_Auto	0
._282	4	EqResPartPos_Head	1
._282	4	EqResPartPos_Body	2
._282	4	EqResPartPos_Belt	3
._282	4	EqResPartPos_LeftHand	4
._282	4	EqResPartPos_RightHand	5
._282	4	EqResPartPos_Foot	6
._282	4	EqResPartPos_Cuff	7
._282	4	EqResPartPos_Neck	8
._282	4	EqResPartPos_Finger	9
._282	4	EqResPartPos_Pendant	10
BATTLE_DATA_TYPE	4	type_player_typebegin	0
BATTLE_DATA_TYPE	4	type_player_totalpoint	1
BATTLE_DATA_TYPE	4	type_player_killplayer	2
BATTLE_DATA_TYPE	4	type_player_killnpc	3
BATTLE_DATA_TYPE	4	type_player_bekilled	4
BATTLE_DATA_TYPE	4	type_player_snapflag	5
BATTLE_DATA_TYPE	4	type_player_killrank1	6
BATTLE_DATA_TYPE	4	type_player_killrank2	7
BATTLE_DATA_TYPE	4	type_player_killrank3	8
BATTLE_DATA_TYPE	4	type_player_killrank4	9
BATTLE_DATA_TYPE	4	type_player_killrank5	10
BATTLE_DATA_TYPE	4	type_player_killrank6	11
BATTLE_DATA_TYPE	4	type_player_killrank7	12
BATTLE_DATA_TYPE	4	type_player_maxserieskill	13
BATTLE_DATA_TYPE	4	type_player_serieskill	14
BATTLE_DATA_TYPE	4	type_player_finishgoal	15
BATTLE_DATA_TYPE	4	type_player_1vs1	16
BATTLE_DATA_TYPE	4	type_player_getitem	17
BATTLE_DATA_TYPE	4	type_player_winside	18
BATTLE_DATA_TYPE	4	type_player_prisegrade	19
BATTLE_DATA_TYPE	4	type_player_averagegrade	20
BATTLE_DATA_TYPE	4	type_player_wingrade	21
BATTLE_DATA_TYPE	4	type_player_param1	22
BATTLE_DATA_TYPE	4	type_player_param2	23
BATTLE_DATA_TYPE	4	type_player_param3	24
BATTLE_DATA_TYPE	4	type_player_param4	25
BATTLE_DATA_TYPE	4	type_player_param5	26
BATTLE_DATA_TYPE	4	type_player_param6	27
BATTLE_DATA_TYPE	4	type_player_noautoclearbegin	40
BATTLE_DATA_TYPE	4	type_player_battleid	41
BATTLE_DATA_TYPE	4	type_player_ruleid	42
BATTLE_DATA_TYPE	4	type_player_battlecamp	43
BATTLE_DATA_TYPE	4	type_player_battleseries	44
BATTLE_DATA_TYPE	4	type_player_keynumber	45
BATTLE_DATA_TYPE	4	type_player_lastdeathtime	46
BATTLE_DATA_TYPE	4	type_player_battletotalpoint	47
BATTLE_DATA_TYPE	4	type_player_round	48
BATTLE_DATA_TYPE	4	type_player_noautoclearend	49
BATTLE_DATA_TYPE	4	type_player_typeend	50
BATTLE_DATA_TYPE	4	type_game_typebegin	51
BATTLE_DATA_TYPE	4	type_game_keynumber	52
BATTLE_DATA_TYPE	4	type_game_battleid	53
BATTLE_DATA_TYPE	4	type_game_ruleid	54
BATTLE_DATA_TYPE	4	type_game_mapid	55
BATTLE_DATA_TYPE	4	type_game_camp1count	56
BATTLE_DATA_TYPE	4	type_game_camp2count	57
BATTLE_DATA_TYPE	4	type_game_mapiconid	58
BATTLE_DATA_TYPE	4	type_game_resttime	59
BATTLE_DATA_TYPE	4	type_game_level	60
BATTLE_DATA_TYPE	4	type_game_mode	61
BATTLE_DATA_TYPE	4	type_game_camp1area	62
BATTLE_DATA_TYPE	4	type_game_camp2area	63
BATTLE_DATA_TYPE	4	type_game_battleseries	64
BATTLE_DATA_TYPE	4	type_game_round	65
BATTLE_DATA_TYPE	4	type_game_typeend	66
BATTLE_DATA_TYPE	4	type_count	67
BinOpr	4	OPR_ADD	0
BinOpr	4	OPR_SUB	1
BinOpr	4	OPR_MULT	2
BinOpr	4	OPR_DIV	3
BinOpr	4	OPR_POW	4
BinOpr	4	OPR_CONCAT	5
BinOpr	4	OPR_NE	6
BinOpr	4	OPR_EQ	7
BinOpr	4	OPR_LT	8
BinOpr	4	OPR_LE	9
BinOpr	4	OPR_GT	10
BinOpr	4	OPR_GE	11
BinOpr	4	OPR_AND	12
BinOpr	4	OPR_OR	13
BinOpr	4	OPR_NOBINOPR	14
CHATROOM_TYPE	4	CHATROOM_TYPE_DEFAULT	0
CHATROOM_TYPE	4	CHATROOM_TYPE_PLAYERS	1
CLIENTACTION	4	cdo_fightstand	0
CLIENTACTION	4	cdo_stand	1
CLIENTACTION	4	cdo_stand1	2
CLIENTACTION	4	cdo_fightwalk	3
CLIENTACTION	4	cdo_walk	4
CLIENTACTION	4	cdo_fightrun	5
CLIENTACTION	4	cdo_run	6
CLIENTACTION	4	cdo_hurt	7
CLIENTACTION	4	cdo_death	8
CLIENTACTION	4	cdo_attack	9
CLIENTACTION	4	cdo_attack1	10
CLIENTACTION	4	cdo_magic	11
CLIENTACTION	4	cdo_sit	12
CLIENTACTION	4	cdo_jump	13
CLIENTACTION	4	cdo_none	14
CLIENTACTION	4	cdo_count	15
CurrencyType	4	CURRENCYTYPE_NONE	0
CurrencyType	4	CURRENCYTYPE_MONEY	1
CurrencyType	4	CURRENCYTYPE_FUYUAN	2
CurrencyType	4	CURRENCYTYPE_COIN	3
CurrencyType	4	CURRENCYTYPE_SCORE	4
CurrencyType	4	CURRENCYTYPE_GOLDCOIN	5
CurrencyType	4	CURRENCYTYPE_SLIVER	6
CurrencyType	4	CURRENCYTYPE_TICKET	7
CurrencyType	4	CURRENCYTYPE_YUANBAO	8
CurrencyType	4	CURRENCYTYPE_GOLDCOIN_NEW	9
CurrencyType	4	CURRENCYTYPE_CONTRIBUTION	10
CurrencyType	4	CURRENCYTYPE_HONOUR	11
CurrencyType	4	CURRENCYTYPE_GOLDCOIN_SCORE	12
CurrencyType	4	CURRENCYTYPE_RESPECT	13
CurrencyType	4	CURRENCYTYPE_REFINING	14
CurrencyType	4	CURRENCYTYPE_ENERGY	15
CurrencyType	4	CURRENCYTYPE_ARENA_CREDITS	16
CurrencyType	4	CURRENCYTYPE_END	17
DAMAGE_TYPE	4	damage_physics	0
DAMAGE_TYPE	4	damage_fire	1
DAMAGE_TYPE	4	damage_cold	2
DAMAGE_TYPE	4	damage_light	3
DAMAGE_TYPE	4	damage_poison	4
DAMAGE_TYPE	4	damage_magic	5
DAMAGE_TYPE	4	damage_return	6
DAMAGE_TYPE	4	damage_num	7
DEAL_MODE	4	DM_None	1
DEAL_MODE	4	DM_BackTown	2
DEAL_MODE	4	DM_BadExp	4
DEAL_MODE	4	DM_BadLife	8
DEAL_MODE	4	DM_BadMana	16
DiceBonus	4	bonus_none	0
DiceBonus	4	bonus_twice	1
DiceBonus	4	bonus_series	2
DiceBonus	4	bonus_thrice	3
EGameMasterCommand	4	GMDoScriptAction	0
EGameMasterCommand	4	GMDoWorldScriptAction	1
EGameMasterCommand	4	GMRunScriptFile	2
EGameMasterCommand	4	GMReloadScriptFile	3
EGameMasterCommand	4	GMReloadAllScriptFile	4
EGameMasterCommand	4	GMDoWorldScriptFileAction	5
EQUIP_UPGRADE_TYPE	4	EUT_UNKNOWN	-1
EQUIP_UPGRADE_TYPE	4	EUT_COMPOUND_CRYOLITE	0
EQUIP_UPGRADE_TYPE	4	EUT_UPDATE_CRYOLITE	1
EQUIP_UPGRADE_TYPE	4	EUT_UPDATE_MAGIC_MINE	2
EQUIP_UPGRADE_TYPE	4	EUT_DISTILL_PROP_MINE	3
EQUIP_UPGRADE_TYPE	4	EUT_FORGE_EQUIP	4
EQUIP_UPGRADE_TYPE	4	EUT_ENCHASE_EQUIP	5
EQUIP_UPGRADE_TYPE	4	EUT_GOAD_ATLAS	6
EQUIP_UPGRADE_TYPE	4	EUT_UPGRADE_TYPE_NUM	7
EQUIP_UPGRADE_TYPE	4	EUT_OLD_UPGRADE	8
FEATURE_PRIORITY	4	feature_prior_normal	0
FEATURE_PRIORITY	4	feature_prior_title	8
FEATURE_PRIORITY	4	feature_prior_disguise_mask	16
FEATURE_PRIORITY	4	feature_prior_disguise_script	32
FEATURE_STATE	4	feature_state_normal	0
FEATURE_STATE	4	feature_state_disguise	1
FEATURE_STATE	4	feature_state_hidden	2
FORBIT_LEVEL	4	forbit_none	0
FORBIT_LEVEL	4	forbit_for_inworld	1
