enum	size	enumerator	value
CurrencyType	4	CURRENCYTYPE_NONE	0
CurrencyType	4	CURRENCYTYPE_MONEY	1
CurrencyType	4	CURRENCYTYPE_FUYUAN	2
CurrencyType	4	CURRENCYTYPE_COIN	3
CurrencyType	4	CURRENCYTYPE_SCORE	4
CurrencyType	4	CURRENCYTYPE_GOLDCOIN	5
CurrencyType	4	CURRENCYTYPE_SLIVER	6
CurrencyType	4	CURRENCYTYPE_TICKET	7
CurrencyType	4	CURRENCYTYPE_YUANBAO	8
CurrencyType	4	CURRENCYTYPE_GOLDCOIN_NEW	9
CurrencyType	4	CURRENCYTYPE_CONTRIBUTION	10
CurrencyType	4	CURRENCYTYPE_HONOUR	11
CurrencyType	4	CURRENCYTYPE_GOLDCOIN_SCORE	12
CurrencyType	4	CURRENCYTYPE_RESPECT	13
CurrencyType	4	CURRENCYTYPE_REFINING	14
CurrencyType	4	CURRENCYTYPE_ENERGY	15
CurrencyType	4	CURRENCYTYPE_ARENA_CREDITS	16
CurrencyType	4	CURRENCYTYPE_END	17
MiniMapObjType	4	MMOT_DEST	0
MiniMapObjType	4	MMOT_TELLPOS	1
MiniMapObjType	4	MMOT_HIGHLIGHT	2
MiniMapObjType	4	MMOT_NUM	3
