struct	alias	base	kind	size	offset	field	type	fieldsize
AUCTION_RELAYHEADER_G2R		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
AUCTION_RELAYHEADER_G2R		EXTEND_HEADER	struct	38	2	szRoleName	char[32]	32
AUCTION_RELAYHEADER_G2R		EXTEND_HEADER	struct	38	34	dwSubWorldID	DWORD	4
AUCTION_RELAYHEADER_R2G		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
AUCTION_RELAYHEADER_R2G		EXTEND_HEADER	struct	6	2	dwNameID	DWORD	4
BATTLE_RELAYHEADER_G2R		EXTEND_HEADER	struct	2	0	(base)	EXTEND_HEADER	2
BATTLE_RELAYHEADER_R2G		EXTEND_HEADER	struct	2	0	(base)	EXTEND_HEADER	2
C2S_ADD_TAG		tagProtocolHeader	struct	65	0	(base)	tagProtocolHeader	1
C2S_ADD_TAG		tagProtocolHeader	struct	65	1	szTargetPlayer	char[32]	32
C2S_ADD_TAG		tagProtocolHeader	struct	65	33	szTagTxt	char[32]	32
C2S_DEL_TAG		tagProtocolHeader	struct	5	0	(base)	tagProtocolHeader	1
C2S_DEL_TAG		tagProtocolHeader	struct	5	1	nTagTime	time_t	4
C2S_GET_TAGS_REQUEST		tagProtocolHeader	struct	33	0	(base)	tagProtocolHeader	1
C2S_GET_TAGS_REQUEST		tagProtocolHeader	struct	33	1	szTargetPlayer	char[32]	32
C2S_SET_FRIEND_PUBLISH_FLAG		tagProtocolHeader	struct	2	0	(base)	tagProtocolHeader	1
C2S_SET_FRIEND_PUBLISH_FLAG		tagProtocolHeader	struct	2	1	byCanPublishFlag	BYTE	1
C2S_SYNCEND		tagProtocolHeader	struct	9	0	(base)	tagProtocolHeader	1
C2S_SYNCEND		tagProtocolHeader	struct	9	1	dwInitKey	DWORD	4
C2S_SYNCEND		tagProtocolHeader	struct	9	5	dwProcessId	DWORD	4
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	0	(base)	EXTEND_HEADER	2
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	2	dwTongID	DWORD	4
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	6	byCurPageIndex	BYTE	1
C2S_TONG_CHECK_APPLYER_STATE_RESPOND		EXTEND_HEADER	struct	83	7	nOperatorIndex	int	4
