struct	size
._10	4
._100	4
._104	8
._105	12
._106	8
._107	28
._109	428
._111	120
._124	8
._143	1
._150	4
._155	8
._157	12
._158	15
._159	26
._160	8
._161	6
._163	4
._164	80
._165	804
._166	17612
._170	4
._172	1
._173	2
._174	4
._175	2
._176	4
._177	128
._180	8
._181	12
._182	32
._183	44
._184	68
._185	12
._186	4
._192	24
._195	16
._198	20
._2	8
._201	8
._202	12
._203	8
._204	28
._205	12
._206	12
._207	428
._208	120
._209	12
._211	152
._212	148
._213	21
._214	8
._215	12
._216	132
._217	12
._218	20
._219	12
._220	70
._221	42
._222	40
._223	42
._224	42
._225	46
._226	40
._227	24
._228	77
._229	36
._230	40
._231	40
._232	54
._233	60
._234	406
._235	53
._236	12
._237	60
._238	406
._239	108
._240	54
._241	8
._242	12
._243	8
._244	8
._245	12
._246	8
._247	28
._248	42
._249	12
._250	60
._251	152
._252	148
._253	132
._254	152
._255	148
._256	132
._257	36
._258	406
._259	12
._260	12
._261	12
._262	152
._263	148
._264	132
._265	36
._267	12
._268	24
._269	8
._27	8
._270	8
._271	24
._272	8
._273	152
._274	152
._275	24
._276	8
._277	152
._278	108
._279	24
._28	4
._280	8
._283	8
._284	108
._286	108
._29	12
._3	8
._30	28
._32	428
._34	120
._4	16
._43	8
._44	4
._45	12
._5	16
._51	8
._52	4
._53	12
._55	32
._56	8
._57	10
._58	24
._59	16
._60	16
._67	16
._68	16
._84	8
._9	24
._91	24
._92	4
._93	3
ARENARESULT	37
ARENAROUND	5
AUCTION_ADDPRICE_C2S	16
AUCTION_ADDPRICE_G2R	54
AUCTION_GETFAILEDITEM_G2R	42
AUCTION_GETSALEMONEY_G2R	42
AUCTION_ITEMINFO_S2C	9
AUCTION_JOIN_C2S	8
AUCTION_JOIN_G2R	46
AUCTION_NOTIFY_S2C	5
AUCTION_OPENSUBMIT_S2C	4
AUCTION_PRICEINCREASE_S2C	46
AUCTION_PROTOCOLHEADER	4
AUCTION_QUERYITEMINFO_G2R	39
AUCTION_QUERYLADDERRESULT_S2C	6
AUCTION_QUERYLADDER_G2R	38
AUCTION_QUITREQUEST_C2S	8
AUCTION_QUITREQUEST_G2R	42
AUCTION_QUIT_S2C	4
AUCTION_RELAYHEADER_G2R	38
AUCTION_RELAYHEADER_R2G	6
AUCTION_REPLYSCRIPTASK_R2G	11
AUCTION_RETURNITEM_R2G	70
