struct	alias	base	kind	size	offset	field	type	fieldsize
EXTEND_HEADER			struct	2	0	ProtocolFamily	BYTE	1
EXTEND_HEADER			struct	2	1	ProtocolID	BYTE	1
GiveItemPos			struct	5	0	nPlace	BYTE	1
GiveItemPos			struct	5	1	sPackPos	POS	2
GiveItemPos			struct	5	3	sUiPos	POS	2
KACCOUNT_INFO2			struct	84	0	(base)	tagAccountUserInfo	52
KACCOUNT_INFO2			struct	84	52	ChangePointInfo	tagExtPointInfo	32
KACCOUNT_LIMITTIME_INFO			struct	12	0	dwLimitTimeFlag	DWORD	4
KACCOUNT_LIMITTIME_INFO			struct	12	4	dwLimitTimeOnlineSeconds	DWORD	4
KACCOUNT_LIMITTIME_INFO			struct	12	8	dwLimitTimeOfflineSeconds	DWORD	4
KEMPIRE_DATA			struct	94	0	szEmperor	char[32]	32
KEMPIRE_DATA			struct	94	32	szTitle	char[16]	16
KEMPIRE_DATA			struct	94	48	szTong	char[32]	32
KEMPIRE_DATA			struct	94	80	bySex	BYTE	1
KEMPIRE_DATA			struct	94	81	bySide	BYTE	1
KEMPIRE_DATA			struct	94	82	dwGoodness	DWORD	4
KEMPIRE_DATA			struct	94	86	dwBadness	DWORD	4
KEMPIRE_DATA			struct	94	90	dwBeginTime	DWORD	4
KEMPIRE_HISTORY			struct	98	0	(base)	KEMPIRE_DATA	94
KEMPIRE_HISTORY			struct	98	94	dwEndTime	DWORD	4
KEMPIRE_INFO			struct	130	0	(base)	KEMPIRE_DATA	94
KEMPIRE_INFO			struct	130	94	szSealOwner	char[32]	32
KEMPIRE_INFO			struct	130	126	dwTurnIdx	DWORD	4
KMagicAttrib			struct	16	0	nAttribType	int	4
KMagicAttrib			struct	16	4	nValue	int[3]	12
KRESIST_ATTR			struct	100	0	nCurrentFireResist_Yin	int	4
KRESIST_ATTR			struct	100	4	nCurrentColdResist_Yin	int	4
KRESIST_ATTR			struct	100	8	nCurrentPoisonResist_Yin	int	4
KRESIST_ATTR			struct	100	12	nCurrentLightResist_Yin	int	4
KRESIST_ATTR			struct	100	16	nCurrentPhysicsResist_Yin	int	4
KRESIST_ATTR			struct	100	20	nCurrentFireResist_Yan	int	4
KRESIST_ATTR			struct	100	24	nCurrentColdResist_Yan	int	4
KRESIST_ATTR			struct	100	28	nCurrentPoisonResist_Yan	int	4
KRESIST_ATTR			struct	100	32	nCurrentLightResist_Yan	int	4
KRESIST_ATTR			struct	100	36	nCurrentPhysicsResist_Yan	int	4
KRESIST_ATTR			struct	100	40	nCurrentFireResistMax	int	4
KRESIST_ATTR			struct	100	44	nCurrentColdResistMax	int	4
KRESIST_ATTR			struct	100	48	nCurrentPoisonResistMax	int	4
KRESIST_ATTR			struct	100	52	nCurrentLightResistMax	int	4
KRESIST_ATTR			struct	100	56	nCurrentPhysicsResistMax	int	4
KRESIST_ATTR			struct	100	60	nFireResist	int	4
KRESIST_ATTR			struct	100	64	nColdResist	int	4
KRESIST_ATTR			struct	100	68	nPoisonResist	int	4
KRESIST_ATTR			struct	100	72	nLightResist	int	4
KRESIST_ATTR			struct	100	76	nPhysicsResist	int	4
KRESIST_ATTR			struct	100	80	nFireResistMax	int	4
KRESIST_ATTR			struct	100	84	nColdResistMax	int	4
KRESIST_ATTR			struct	100	88	nPoisonResistMax	int	4
KRESIST_ATTR			struct	100	92	nLightResistMax	int	4
KRESIST_ATTR			struct	100	96	nPhysicsResistMax	int	4
KRET_APPLYINFO			struct	34	0	byLevel	BYTE	1
KRET_APPLYINFO			struct	34	1	bIsOnline	BYTE	1
KRET_APPLYINFO			struct	34	2	szName	char[32]	32
KSTAT_DATA_MODIFY			struct	12	0	nID	int	4
KSTAT_DATA_MODIFY			struct	12	4	nValue	int64_t	8
KTongShowInfo			struct	179	0	dwTongID	DWORD	4
KTongShowInfo			struct	179	4	szName	char[32]	32
KTongShowInfo			struct	179	36	wMemberCount	WORD	2
KTongShowInfo			struct	179	38	wLevel	WORD	2
KTongShowInfo			struct	179	40	nHuoYueDu	int	4
KTongShowInfo			struct	179	44	ZhaoMuInfo	KZhaoMuInfo	135
KZhaoMuInfo			struct	135	0	byQingXiang	BYTE	1
KZhaoMuInfo			struct	135	1	byActivity	BYTE[4]	4
KZhaoMuInfo			struct	135	5	szCustomText	char[128]	128
KZhaoMuInfo			struct	135	133	byAutoAcceptLevel	BYTE	1
KZhaoMuInfo			struct	135	134	byRefuseApplyLevel	BYTE	1
LocalDispatchMsgChannel			struct	10	0	ChannelId	DWORD	4
LocalDispatchMsgChannel			struct	10	4	Cost	BYTE	1
LocalDispatchMsgChannel			struct	10	5	ChannelFlag	BYTE	1
