# generated by tools/ida/dump_protocol_sizes.py from gInitServerProtocolSize() @ 0x080EF560
# 107 stores, 106 protocols assigned: 74 fixed size, 32 variable
# index 0 is protocol 65; the 83 indices not listed are left 0 by .bss and reject every length
# protocol 65 assigned twice: 0 then 33
protocol	size	kind
65	33	fixed
66	17	fixed
67	9	fixed
68	-1	variable
69	-1	variable
70	-1	variable
71	-1	variable
72	-1	variable
73	5	fixed
74	5	fixed
75	13	fixed
76	13	fixed
77	17	fixed
78	13	fixed
79	-1	variable
80	-1	variable
81	-1	variable
82	-1	variable
83	-1	variable
84	2	fixed
85	1	fixed
86	-1	variable
87	14	fixed
88	17	fixed
89	16	fixed
90	12	fixed
91	7	fixed
92	13	fixed
93	12	fixed
94	1	fixed
95	17	fixed
96	5	fixed
97	-1	variable
98	5	fixed
99	5	fixed
100	41	fixed
101	1	fixed
102	5	fixed
103	5	fixed
104	5	fixed
105	-1	variable
106	1	fixed
107	9	fixed
108	5	fixed
109	2	fixed
110	9	fixed
111	5	fixed
112	9	fixed
113	2	fixed
114	9	fixed
115	14	fixed
116	13	fixed
117	10	fixed
118	2	fixed
119	5	fixed
120	5	fixed
121	-1	variable
122	9	fixed
123	16	fixed
124	-1	variable
125	30	fixed
126	9	fixed
127	50	fixed
128	-1	variable
129	-1	variable
130	-1	variable
131	4	fixed
132	14	fixed
133	10	fixed
134	17	fixed
135	26	fixed
136	4	fixed
137	-1	variable
138	9	fixed
139	5	fixed
140	65	fixed
141	73	fixed
142	42	fixed
143	69	fixed
144	25	fixed
145	5	fixed
146	204	fixed
151	1	fixed
153	-1	variable
154	-1	variable
155	1	fixed
163	-1	variable
164	-1	variable
165	-1	variable
166	5	fixed
167	9	fixed
168	9	fixed
169	-1	variable
170	13	fixed
171	-1	variable
172	5	fixed
173	-1	variable
174	-1	variable
175	33	fixed
176	65	fixed
177	5	fixed
178	2	fixed
250	-1	variable
251	-1	variable
252	-1	variable
253	-1	variable
