# generated by tools/ida/dump_dispatch.py from KProtocolProcess::KProtocolProcess() @ 0x080F0760
# 110 slots assigned: 99 handlers, 11 explicitly retired
table	id	handler
ProcessFunc	65	0
ProcessFunc	66	0
ProcessFunc	67	0
ProcessFunc	68	0
ProcessFunc	69	0
ProcessFunc	70	RemoveRole
ProcessFunc	71	0
ProcessFunc	72	0
ProcessFunc	73	NpcRequestCommand
ProcessFunc	74	ObjRequestCommand
ProcessFunc	75	NpcWalkCommand
ProcessFunc	76	NpcRunCommand
ProcessFunc	77	NpcSkillCommand
ProcessFunc	78	NpcJumpCommand
ProcessFunc	79	NpcTalkCommand
ProcessFunc	80	0
ProcessFunc	81	0
ProcessFunc	82	PlayerTalkCommand
ProcessFunc	83	c2sTeamProtocol
ProcessFunc	84	PlayerApplySetPK
ProcessFunc	85	PlayerApplyFactionData
ProcessFunc	86	PlayerSendChat
ProcessFunc	87	PlayerAddBaseAttribute
ProcessFunc	88	PlayerApplyAddSkillPoint
ProcessFunc	89	PlayerEatItem
ProcessFunc	90	PlayerPickUpItem
ProcessFunc	91	PlayerMoveItem
ProcessFunc	92	PlayerSellItem
ProcessFunc	93	PlayerBuyItem
ProcessFunc	94	PlayerDropItem
ProcessFunc	95	PlayerSelUI
ProcessFunc	96	ChatSetChannel
ProcessFunc	97	ChatApplyAddFriend
ProcessFunc	98	ChatAddFriend
ProcessFunc	99	ChatRefuseFriend
ProcessFunc	100	0
ProcessFunc	101	ChatApplyReSendAllFriendName
ProcessFunc	102	ChatApplySendOneFriendName
ProcessFunc	103	ChatDeleteFriend
ProcessFunc	104	ChatReDeleteFriend
ProcessFunc	105	TradeApplyOpen
ProcessFunc	106	TradeApplyClose
ProcessFunc	107	TradeApplyStart
ProcessFunc	108	TradeMoveMoney
ProcessFunc	109	TradeDecision
ProcessFunc	110	DialogNpc
ProcessFunc	111	ChangeAuraSkill
ProcessFunc	112	0
ProcessFunc	113	NpcSitCommand
ProcessFunc	114	ObjMouseClick
ProcessFunc	115	StoreMoneyCommand
ProcessFunc	116	NpcReviveCommand
ProcessFunc	117	c2sTradeReplyStart
ProcessFunc	118	c2sPKApplyChangeNormalFlag
ProcessFunc	119	c2sPKApplyEnmity
ProcessFunc	120	c2sViewEquip
ProcessFunc	121	LadderQuery
ProcessFunc	122	ItemRepair
ProcessFunc	123	c2sitemmask
ProcessFunc	124	c2sstallExtend
ProcessFunc	125	c2sGive
ProcessFunc	126	c2sNotify
ProcessFunc	127	EnchaserItem
ProcessFunc	128	c2skillerExtend
ProcessFunc	129	c2sAuctionExtend
ProcessFunc	130	c2sCityWarExtend
ProcessFunc	131	ThrowAwayAllMedicine
ProcessFunc	132	c2sBoxOperate
ProcessFunc	133	PlayerDivideItem
ProcessFunc	134	BulletinContentQuery
ProcessFunc	135	c2sAutoAttackNpc
ProcessFunc	137	c2sGiveItemUI
ProcessFunc	138	c2sBotClientCheckResult
ProcessFunc	139	c2sWelcome2Server
ProcessFunc	140	c2sOfflineRequest
ProcessFunc	144	c2sDayTimeReq
ProcessFunc	145	c2sRequestNpcFeature
ProcessFunc	146	c2sFoundryRequest
ProcessFunc	151	c2sSendDbData
ProcessFunc	153	c2sSpectatorMsg
ProcessFunc	154	c2sPartnerExtend
ProcessFunc	155	c2sCloseConnection
ProcessFunc	163	c2sSendTextCmd
ProcessFunc	165	c2sTongExMsg
ProcessFunc	166	NpcStateRequestCommand
ProcessFunc	167	c2sApplySyncFile
ProcessFunc	168	c2sSetPlayerTaskValue
ProcessFunc	169	c2sNationalWar
ProcessFunc	170	c2sSelectDiceItem
ProcessFunc	171	c2sScriptProtocol
ProcessFunc	172	StoresChangeShop
ProcessFunc	175	OnGetTagsRequest
ProcessFunc	176	OnAddTagRequest
ProcessFunc	177	OnDelTagRequest
ProcessFunc	178	OnSetCanPublishFlagRequest
m_NWClientProcess	0	NWClient_KickOut
m_NWClientProcess	1	NWClient_Instate
m_NWRelayProcess	0	NWRelay_SyncEmperor
m_NWRelayProcess	1	NWRelay_SyncNationTitle
m_NWRelayProcess	2	NWRelay_SyncCongratulation
m_NWRelayProcess	3	NWRelay_AwardEmperor
m_NWRelayProcess	4	NWRelay_SyncRemark
m_NWRelayProcess	5	NWRelay_SyncTask
m_NWRelayProcess	6	NWRelay_LevyAmount
m_NWRelayProcess	7	NWRelay_ForbidChat
m_NWRelayProcess	8	NWRelay_SyncSealOwner
m_NWRelayProcess	9	NWRelay_SyncHistory
m_NWRelayProcess	10	NWRelay_UpdateTitle
m_NWRelayProcess	11	NWRelay_PositionChange
m_NWRelayProcess	12	NWRelay_Levy
