# generated by tools/ida/dump_send_ids.py
# 8401 functions decompiled, 1 failed, 575 assignments found
struct	field	value	function	count
AUCTION_ADDPRICE_G2R	ProtocolFamily	9	_ZN15KAuctionProcess18c2sauctionaddpriceEiPh	1
AUCTION_ADDPRICE_G2R	ProtocolID	6	_ZN15KAuctionProcess18c2sauctionaddpriceEiPh	1
AUCTION_GETFAILEDITEM_G2R	ProtocolFamily	9	_Z16LuaGetFailedItemP9lua_State	1
AUCTION_GETFAILEDITEM_G2R	ProtocolID	11	_Z16LuaGetFailedItemP9lua_State	1
AUCTION_GETSALEMONEY_G2R	ProtocolFamily	9	_Z15LuaGetSaleMoneyP9lua_State	1
AUCTION_GETSALEMONEY_G2R	ProtocolID	10	_Z15LuaGetSaleMoneyP9lua_State	1
AUCTION_JOIN_G2R	ProtocolFamily	9	_ZN15KAuctionProcess14c2sauctionjoinEiPh	1
AUCTION_JOIN_G2R	ProtocolID	5	_ZN15KAuctionProcess14c2sauctionjoinEiPh	1
AUCTION_OPENSUBMIT_S2C	ProtocolType	-94	_Z17LuaOpenSubmitItemP9lua_State	1
AUCTION_QUERYITEMINFO_G2R	ProtocolFamily	9	_Z16LuaQueryItemInfoP9lua_State	1
AUCTION_QUERYITEMINFO_G2R	ProtocolID	4	_Z16LuaQueryItemInfoP9lua_State	1
AUCTION_QUERYLADDER_G2R	ProtocolFamily	9	_ZN15KAuctionProcess21c2sauctionqueryladderEiPh	1
AUCTION_QUERYLADDER_G2R	ProtocolID	8	_ZN15KAuctionProcess21c2sauctionqueryladderEiPh	1
AUCTION_QUITREQUEST_G2R	ProtocolFamily	9	_ZN15KAuctionProcess21c2sauctionquitrequestEiPh	1
AUCTION_QUITREQUEST_G2R	ProtocolID	7	_ZN15KAuctionProcess21c2sauctionquitrequestEiPh	1
AUCTION_SCRIPTASK_G2R	ProtocolFamily	9	_Z19LuaAskAuctionStatusP9lua_State	1
AUCTION_SCRIPTASK_G2R	ProtocolID	1	_Z19LuaAskAuctionStatusP9lua_State	1
AUCTION_SUBMITITEM_REQUEST_G2R	ProtocolFamily	9	_ZN15KAuctionProcess20c2sauctionsumbititemEiPh	1
AUCTION_SUBMITITEM_REQUEST_G2R	ProtocolID	2	_ZN15KAuctionProcess20c2sauctionsumbititemEiPh	1
AUCTION_SUBMIT_ITEM_G2R	ProtocolFamily	9	_ZN15KAuctionProcess27r2gauctionsubmititemallowedEPhji	1
AUCTION_SUBMIT_ITEM_G2R	ProtocolID	3	_ZN15KAuctionProcess27r2gauctionsubmititemallowedEPhji	1
AUCTION_TRADERESULT_G2R	ProtocolFamily	9	_ZN15KAuctionProcess15r2gauctiontradeEPhji	1
AUCTION_TRADERESULT_G2R	ProtocolID	9	_ZN15KAuctionProcess15r2gauctiontradeEPhji	1
BATTLE_ROUND_RESULT_G2R	ProtocolFamily	11	_ZN11BattleSpace7KBattle26SendBattleResultToTransferEi	1
BATTLE_ROUND_RESULT_G2R	ProtocolID	1	_ZN11BattleSpace7KBattle26SendBattleResultToTransferEi	1
BOX_INFO_SYNC	cProtocol	-90	_ZN9KItemList12SyncBoxParamEii	1
BULLETIN_CONTENT_DATA	cProtocol	-86	_ZN16KProtocolProcess20BulletinContentQueryEiPh	1
BULLETIN_SUMMARY_DATA	cProtocol	-87	_Z17LuaUpdateBulletinP9lua_State	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_Z12LuaLeaveTeamP9lua_State	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN10KPlayerSet13PrepareRemoveEi	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN10KPlayerSet15PrepareExchangeEi	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN10KPlayerSet18PrepareLoginFailedEi	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN11KPlayerTeam14GetInviteReplyEiii	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN11KPlayerTeam14SetCanTeamFlagEiii	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN4KNpc7DoDeathEii	1
C2S_APPLY_LEAVE_TEAM	cProtocol	83	_ZN5KTeam17AutoChangeCaptionEv	2
C2S_TONG_CHECK_APPLYER_STATE_RESPOND	ProtocolFamily	6	_ZN11KServerCore25ProcessCheckApplyJoinTongEPhj	1
C2S_TONG_CHECK_APPLYER_STATE_RESPOND	ProtocolID	33	_ZN11KServerCore25ProcessCheckApplyJoinTongEPhj	1
CHATROOM_C2S_MEMBER	cProtocol	-92	_Z20Lua_ChatRoom_KickOutP9lua_State	1
CHATROOM_C2S_MEMBER	cProtocol	-92	_Z20Lua_ChatRoom_PreventP9lua_State	1
CHATROOM_C2S_MEMBER	cProtocol	-92	_Z22Lua_ChatRoom_UnPreventP9lua_State	1
CHATROOM_C2S_PASSWORD	cProtocol	-92	_Z22Lua_ChatRoom_EnterRoomP9lua_State	1
CHATROOM_C2S_PASSWORD	cProtocol	-92	_Z23Lua_ChatRoom_CreateRoomP9lua_State	1
CHATROOM_C2S_PASSWORD	cProtocol	-92	_Z27Lua_ChatRoom_ChangePasswordP9lua_State	1
CHATROOM_C2S_ROOM	cProtocol	-92	_Z22Lua_ChatRoom_LeaveRoomP9lua_State	1
CHATROOM_S2C_KICKEDOUT	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess17BroadCast_KickOutEPvi	1
CHATROOM_S2C_MEMBERLIST	cProtocol	-62	_ZN25CChatRoomPlayerMsgProcess20Process_GetBlackListEiPvi	2
CHATROOM_S2C_MEMBERLIST	cProtocol	-62	_ZN25CChatRoomPlayerMsgProcess21Process_GetMemberListEiPvi	2
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess15Process_PreventEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess17Process_EnterRoomEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess17Process_LeaveRoomEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess17Process_UnPreventEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess18Process_CreateRoomEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess19Process_AddLifeTimeEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN24CChatRoomRelayMsgProcess22Process_ChangePasswordEPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN25CChatRoomPlayerMsgProcess18Process_CreateRoomEiPvi	1
CHATROOM_S2C_ROOM	cProtocol	-62	_ZN25CChatRoomPlayerMsgProcess19Process_AddLifeTimeEiPvi	2
CHATROOM_S2R_CLOSEROOM	cProtocol	46	_Z22Lua_ChatRoom_CloseRoomP9lua_State	1
CHATROOM_S2R_CLOSEROOM	cProtocol	46	_ZN24CChatRoomRelayMsgProcess18Process_CreateRoomEPvi	1
CHATROOM_S2R_CREATE	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess18Process_CreateRoomEiPvi	1
CHATROOM_S2R_ENTERROOM	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess17Process_EnterRoomEiPvi	1
CHATROOM_S2R_M2M	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess15Process_KickOutEiPvi	1
CHATROOM_S2R_M2M	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess15Process_PreventEiPvi	1
CHATROOM_S2R_M2M	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess17Process_UnPreventEiPvi	1
CHATROOM_S2R_MEMBER	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess17Process_LeaveRoomEiPvi	1
CHATROOM_S2R_PASSWORD	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess22Process_ChangePasswordEiPvi	1
CHATROOM_S2R_ROOMTIME	cProtocol	46	_ZN24CChatRoomRelayMsgProcess19Process_AddLifeTimeEPvi	2
CHATROOM_S2R_ROOMTIME	cProtocol	46	_ZN25CChatRoomPlayerMsgProcess14AskForMoreTimeEiPKc	1
CHATROOM_SBC_CLOSEROOM	cProtocol	-62	_ZN14CChatRoomEvent15DestroyChatRoomEP9CChatRoom	1
CHATROOM_SBC_ENTERROOM	cProtocol	-62	_ZN14CChatRoomEvent13EnterChatRoomEP9CChatRoomPK18TChatRoomMemberInf	1
CHATROOM_SBC_LIFETIMECHANGE	cProtocol	-62	_ZN14CChatRoomEvent14ChangeLifeTimeEP9CChatRoomi	1
CHATROOM_SBC_MEMBER	cProtocol	-62	_ZN14CChatRoomEvent13LeaveChatRoomEP9CChatRoomPKc	1
CHATROOM_SBC_MEMBER	cProtocol	-62	_ZN14CChatRoomEvent7KickOutEP9CChatRoomPKc	1
CHATROOM_SBC_MEMBER	cProtocol	-62	_ZN14CChatRoomEvent7PreventEP9CChatRoomPKc	1
CHATROOM_SBC_MEMBER	cProtocol	-62	_ZN14CChatRoomEvent9UnPreventEP9CChatRoomPKc	1
CHAT_ADD_FRIEND_FAIL_SYNC	cProtocol	109	_ZN7KPlayer13ChatAddFriendEPh	1
CHAT_ADD_FRIEND_SYNC	cProtocol	107	_ZN11KPlayerChat13AddFriendDataEii	1
CHAT_APPLY_ADD_FRIEND_SYNC	cProtocol	106	_ZN7KPlayer26ChatTransmitApplyAddFriendEPh	1
CHAT_DELETE_FRIEND_SYNC	cProtocol	114	_ZN11KPlayerChat16DeleteFriendDataEmi	1
CHAT_DYNCHANNEL_SENDMSG	cProtocol	45	_ZN16KChannelProtocol16FillinChannelMsgEmP23CHAT_DYNCHANNEL_RECVMSGP23CHAT_DYNCHANNEL_SENDMSG	1
CHAT_FRIEND_OFFLINE_SYNC	cProtocol	115	_ZN11KPlayerChat13GetMsgOffLineEmi	1
CHAT_FRIEND_ONLINE_SYNC	cProtocol	113	_ZN7KPlayer16ChatFriendOnLineEmi	1
CHAT_LOGIN_FRIEND_NAME_SYNC	cProtocol	111	_ZN11KPlayerChat14SyncFriendDataEiRj	1
CHAT_LOGIN_FRIEND_NONAME_SYNC	cProtocol	110	_ZN11KPlayerChat14SyncFriendDataEiRj	1
CHAT_ONE_FRIEND_DATA_SYNC	cProtocol	112	_ZN11KPlayerChat19ResendOneFriendDataEmi	1
CHAT_REFUSE_FRIEND_SYNC	cProtocol	108	_ZN7KPlayer16ChatRefuseFriendEPh	1
CHAT_SCREENSINGLE_ERROR_SYNC	cProtocol	121	_ZN11KPlayerChat14ServerSendChatEiPh	1
CITYWAR_ARENARESULT_G2R	ProtocolFamily	10	_ZN14KCityWarDataGS14AddArenaResultEiRK14tagArenaResulti	1
CITYWAR_ARENARESULT_G2R	ProtocolID	4	_ZN14KCityWarDataGS14AddArenaResultEiRK14tagArenaResulti	1
CITYWAR_COMMONINPUT	ProtocolType	-93	_Z21LuaAskClientForNumberP9lua_State	1
CITYWAR_COMMONINPUT	ProtocolType	-93	_Z21LuaAskClientForStringP9lua_State	1
CITYWAR_OPENCITYMANAGE_S2C	ProtocolType	-93	_Z19LuaOpenCityManageUIP9lua_State	1
CITYWAR_SCRIPTQUERYBULLETIN_G2R	ProtocolFamily	10	_Z31SendRelayCmdScriptQueryBulletiniPKc	1
CITYWAR_SCRIPTQUERYBULLETIN_G2R	ProtocolID	3	_Z31SendRelayCmdScriptQueryBulletiniPKc	1
CITYWAR_SIGNUP_G2R	ProtocolFamily	10	_Z25SendRelayCmdCityWarSignUpiim	1
CITYWAR_SIGNUP_G2R	ProtocolID	1	_Z25SendRelayCmdCityWarSignUpiim	1
CITYWAR_SUBMITCITYTAXRATES_G2R	ProtocolFamily	10	_Z33SendRelayCmdCityWarSubmitTaxRatesiimm	1
CITYWAR_SUBMITCITYTAXRATES_G2R	ProtocolID	2	_Z33SendRelayCmdCityWarSubmitTaxRatesiimm	1
CITYWAR_TONGACTION_G2R	ProtocolFamily	10	_ZN14KCityWarDataGS14AppointViceroyEiPKc	1
CITYWAR_TONGACTION_G2R	ProtocolFamily	10	_ZN14KCityWarDataGS17AppointChallengerEiPKc	1
CITYWAR_TONGACTION_G2R	ProtocolID	6	_ZN14KCityWarDataGS14AppointViceroyEiPKc	1
CITYWAR_TONGACTION_G2R	ProtocolID	6	_ZN14KCityWarDataGS17AppointChallengerEiPKc	1
CITYWAR_WARRESULT_G2R	ProtocolFamily	10	_ZN14KCityWarDataGS10EndCityWarEii	1
CITYWAR_WARRESULT_G2R	ProtocolID	5	_ZN14KCityWarDataGS10EndCityWarEii	1
CLEAR_TONG_CLAIMWAR_SYNC	cProtocol	-3	_ZN11KPlayerTong24SyncClearClaimWarTongIDSEv	1
CURPLAYER_NORMAL_SYNC	cProtocol	70	_ZN7KPlayer21SendCurNormalSyncDataEPS_	1
CURPLAYER_SYNC	cProtocol	68	_ZN7KPlayer17SendSyncCurPlayerEi	1
EXTEND_HEADER	ProtocolFamily	0	_ZN6trip_c12KTripManager9ApplyTripEP7KPlayerPKciPKNS_12KDESTINATIONE	1
EXTEND_HEADER	ProtocolFamily	16	_Z14LuaNW_AbdicateP9lua_State	1
EXTEND_HEADER	ProtocolID	1	_Z14LuaNW_AbdicateP9lua_State	1
EXTEND_HEADER	ProtocolID	75	_ZN6trip_c12KTripManager9ApplyTripEP7KPlayerPKciPKNS_12KDESTINATIONE	1
FIGHT_PARTNER_SIMPLE_INFO_1	cProtocol	-68	_ZN13KFightPartner15SendSimpleInfo1E26enumPartnerSubProtocolTypeh	1
FIGHT_PARTNER_SIMPLE_INFO_2	cProtocol	-68	_ZN13KFightPartner15SendSimpleInfo2E26enumPartnerSubProtocolTypet	1
FIGHT_PARTNER_SIMPLE_INFO_2	cProtocol	-68	_ZN13KFightPartner16BroadcastLevelUpEv	1
FIGHT_PARTNER_SIMPLE_INFO_4	cProtocol	-68	_ZN13KFightPartner15SendSimpleInfo4E26enumPartnerSubProtocolTypem	1
FIGHT_PARTNER_SKILL_SYNC	cProtocol	-68	_ZN10KSkillList11AddSkillExpEP12KMagicAttribi	1
FIGHT_PARTNER_SKILL_SYNC	cProtocol	-68	_ZN13KFightPartner11RemoveSkillENS_18PARTNER_SKILL_TYPEEi	1
FIGHT_PARTNER_SKILL_SYNC	cProtocol	-68	_ZN13KFightPartner8AddSkillENS_18PARTNER_SKILL_TYPEEiimiii	1
FIGHT_PARTNER_SYNC_MIN	cProtocol	-68	_ZN13KFightPartner7SyncMinEP7KPlayer	1
FOUNDRY_RESULT	cProtocol	-96	_ZN16KProtocolProcess12EnchaserItemEiPh	1
FOUNDRY_RESULT	cProtocol	-96	_ZN16KProtocolProcess17c2sFoundryRequestEiPh	1
ITEM_AUTO_MOVE_SYNC	cProtocol	-115	_ZN9KItemList16AutoMoveMedicineEiiiii	1
ITEM_BIND_SYNC	cProtocol	-54	_ZN9KItemList17SyncItemBindStateEi	1
ITEM_COUNT_SYNC	cProtocol	-88	_ZN9KItemList12SetItemCountEii	1
ITEM_DURABILITY_CHANGE	cProtocol	-101	_Z27__lua_Durability_SyncClientii	1
ITEM_DURABILITY_CHANGE	cProtocol	-101	_ZN7KPlayer10RepairItemEm	1
ITEM_DURABILITY_CHANGE	cProtocol	-101	_ZN7KPlayer15RepairGoldEquipEm	1
ITEM_DURABILITY_CHANGE	cProtocol	-101	_ZN9KItemList15DeactivateEquipEiiPSt6vectorI13KITEM_CONSUMESaIS1_EE	1
ITEM_DURABILITY_CHANGE	cProtocol	-101	_ZN9KItemList23AbradePercentInAllEquipEi	1
ITEM_DURABILITY_CHANGE	cProtocol	-101	_ZN9KItemList6AbradeEi	1
ITEM_MASK	cProtocol	-100	_ZN7KPlayer8MaskItemEPc	1
ITEM_REMOVE_SYNC	cProtocol	96	_ZN9KItemList16ExchangeItemHandEP7ItemPosS1_	2
ITEM_REMOVE_SYNC	cProtocol	96	_ZN9KItemList6RemoveEi	1
ITEM_SYNC	cProtocol	95	_ZN9KItemList16ExchangeItemHandEP7ItemPosS1_	1
ITEM_SYNC	cProtocol	95	_ZN9KItemList3AddEiiiii	1
ITEM_SYNC	cProtocol	95	_ZN9KItemList8SyncItemEi	1
KC2S_TONG_ACCEPT_OR_REFUSE	ProtocolFamily	6	_ZN11KPlayerTong26AcceptOrRefuseApplyToRelayEiPci	1
KC2S_TONG_ACCEPT_OR_REFUSE	ProtocolID	32	_ZN11KPlayerTong26AcceptOrRefuseApplyToRelayEiPci	1
KC2S_TONG_ADD_TO_APPLY_LIST	ProtocolFamily	6	_ZN11KPlayerTong14AddApplyToListEm	1
KC2S_TONG_ADD_TO_APPLY_LIST	ProtocolID	30	_ZN11KPlayerTong14AddApplyToListEm	1
KC2S_TONG_GET_APPLY_LIST	ProtocolFamily	6	_ZN11KServerCore18GetZhaoMuApplyInfoEii	1
KC2S_TONG_GET_APPLY_LIST	ProtocolID	31	_ZN11KServerCore18GetZhaoMuApplyInfoEii	1
KC2S_TONG_SAVE_ZHAOMU_INFO	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
KC2S_TONG_SAVE_ZHAOMU_INFO	ProtocolID	29	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
KILLER_CANCELTASK_G2R	ProtocolFamily	8	_ZN11KKillerTask19c2skillercanceltaskEiPh	1
KILLER_CANCELTASK_G2R	ProtocolID	5	_ZN11KKillerTask19c2skillercanceltaskEiPh	1
KILLER_CREATETASK	ProtocolFamily	8	_ZN11KKillerTask29ProcessRelayKillerc2cProtocolEPhj	1
KILLER_CREATETASK	ProtocolID	1	_ZN11KKillerTask29ProcessRelayKillerc2cProtocolEPhj	1
KILLER_GETMONEY	ProtocolFamily	8	_Z15LuaGetTaskMoneyP9lua_State	1
KILLER_GETMONEY	ProtocolID	8	_Z15LuaGetTaskMoneyP9lua_State	1
KILLER_PK	ProtocolFamily	8	_ZN11KKillerTask9ProcessPKEii	1
KILLER_PK	ProtocolID	4	_ZN11KKillerTask9ProcessPKEii	1
KILLER_PROTOCOLHEADER	ProtocolType	-95	_Z15LuaQueryWiseManP9lua_State	1
KILLER_PROTOCOLHEADER	ProtocolType	-95	_Z17LuaOpenCreateTaskP9lua_State	1
KILLER_QUERYKILLEE_RESULT0	ProtocolType	67	_ZN19KNewProtocolProcess25P_ProcessKillerCreateTaskEmmiPhi	1
KILLER_QUERYKILLEE_RESULT1	ProtocolType	67	_ZN19KNewProtocolProcess22P_ProcessKillerWiseManEmmiPhi	1
KILLER_QUERYTASK_G2R	ProtocolFamily	8	_Z14LuaOpenAllTaskP9lua_State	1
KILLER_QUERYTASK_G2R	ProtocolFamily	8	_Z14LuaOpenOwnTaskP9lua_State	1
KILLER_QUERYTASK_G2R	ProtocolID	6	_Z14LuaOpenAllTaskP9lua_State	1
KILLER_QUERYTASK_G2R	ProtocolID	6	_Z14LuaOpenOwnTaskP9lua_State	1
KILLER_QUERYWISEMAN_C2S	ProtocolType	128	_Z20LuaQueryWiseManForSBP9lua_State	1
KILLER_SCRIPTASK	ProtocolFamily	8	_Z18LuaAskKillerStatusP9lua_State	1
KILLER_SCRIPTASK	ProtocolID	3	_Z18LuaAskKillerStatusP9lua_State	1
KILLER_TAKETASK_G2R	ProtocolFamily	8	_ZN11KKillerTask17c2skillertaketaskEiPh	1
KILLER_TAKETASK_G2R	ProtocolID	7	_ZN11KKillerTask17c2skillertaketaskEiPh	1
KPLAYER_LIMITTIME_SYNC	cProtocol	-67	_ZN16KPlayerLimitTime16SyncInfoToClientEv	1
KPROTOGR_NW_ENTHRONE	ProtocolFamily	16	_Z14LuaNW_EnthroneP9lua_State	1
KPROTOGR_NW_ENTHRONE	ProtocolID	0	_Z14LuaNW_EnthroneP9lua_State	1
KPROTOGR_NW_POSITIONCHANGE	ProtocolFamily	16	_ZN11KPlayerTong10NW_DismissEPKc23KE_NATIONALWAR_POSITION	1
KPROTOGR_NW_POSITIONCHANGE	ProtocolFamily	16	_ZN11KPlayerTong10NW_InstateEPKc23KE_NATIONALWAR_POSITION	1
KPROTOGR_NW_POSITIONCHANGE	ProtocolFamily	16	_ZN7KEmpire12SyncPositionEiPK9KTongData	1
KPROTOGR_NW_POSITIONCHANGE	ProtocolID	6	_ZN11KPlayerTong10NW_DismissEPKc23KE_NATIONALWAR_POSITION	1
