struct	size	header
EXTEND_HEADER	2	KRelayProtocol.h
RELAY_DATA	20	KRelayProtocol.h
RELAY_ASKWAY_DATA	20	KRelayProtocol.h
tagExtendProtoHeader	3	KRelayProtocol.h
tagPlusSrcInfo	8	KRelayProtocol.h
PLAYERCOMM_QUERYCHANNELID	34	KRelayProtocol.h
PLAYERCOMM_NOTIFYCHANNELID	39	KRelayProtocol.h
PLAYERCOMM_FREECHANNELID	6	KRelayProtocol.h
PLAYERCOMM_SUBSCRIBE	10	KRelayProtocol.h
PLAYERCOMM_GMQUERYCHANNELID	35	KRelayProtocol.h
PLAYERCOMM_GMFREECHANNELID	6	KRelayProtocol.h
PLAYERCOMM_GMSUBSCRIBE	10	KRelayProtocol.h
CHAT_MSG_EX	68	KRelayProtocol.h
PLAYER_SYNC	220	KProtocol.h
PLAYER_NORMAL_SYNC	216	KProtocol.h
NPC_SYNC	106	KProtocol.h
NPC_NORMAL_SYNC	46	KProtocol.h
NPC_PLAYER_TYPE_NORMAL_SYNC	21	KProtocol.h
NPC_SIT_SYNC	5	KProtocol.h
NPC_REMOVE_SYNC	9	KProtocol.h
NPC_WALK_SYNC	13	KProtocol.h
NPC_REVIVE_SYNC	6	KProtocol.h
NPC_JUMP_SYNC	13	KProtocol.h
NPC_RUN_SYNC	13	KProtocol.h
NPC_HURT_SYNC	17	KProtocol.h
NPC_CHGCURCAMP_SYNC	6	KProtocol.h
NPC_CHGCAMP_SYNC	6	KProtocol.h
NPC_SKILL_SYNC	21	KProtocol.h
NPC_CHAT_SYNC	265	KProtocol.h
NPC_SKILL_COMMAND	13	KProtocol.h
NPC_WALK_COMMAND	9	KProtocol.h
NPC_REVIVE_COMMAND	1	KProtocol.h
NPC_RUN_COMMAND	9	KProtocol.h
SALE_BOX_SYNC	65	KProtocol.h
SOME_BOX_SYNC	9	KProtocol.h
PLAYER_DIALOG_NPC_COMMAND	5	KProtocol.h
PLAYER_EXP_SYNC	5	KProtocol.h
PLAYER_APPLY_CREATE_TEAM	1	KProtocol.h
PLAYER_SEND_CREATE_TEAM_FALSE	2	KProtocol.h
PLAYER_APPLY_TEAM_INFO	5	KProtocol.h
PLAYER_APPLY_TEAM_INFO_FALSE	1	KProtocol.h
PLAYER_SEND_TEAM_INFO	37	KProtocol.h
PLAYER_SEND_SELF_TEAM_INFO	306	KProtocol.h
PLAYER_TEAM_CHANGE_STATE	3	KProtocol.h
PLAYER_APPLY_ADD_TEAM	5	KProtocol.h
PLAYER_ACCEPT_TEAM_MEMBER	5	KProtocol.h
PLAYER_TEAM_ADD_MEMBER	38	KProtocol.h
PLAYER_APPLY_LEAVE_TEAM	5	KProtocol.h
PLAYER_LEAVE_TEAM	5	KProtocol.h
PLAYER_TEAM_KICK_MEMBER	5	KProtocol.h
PLAYER_APPLY_TEAM_CHANGE_CAPTAIN	9	KProtocol.h
PLAYER_TEAM_CHANGE_CAPTAIN	13	KProtocol.h
PLAYER_APPLY_TEAM_DISMISS	1	KProtocol.h
PLAYER_SET_PK	2	KProtocol.h
PLAYER_FACTION_DATA	8	KProtocol.h
PLAYER_LEAVE_FACTION	1	KProtocol.h
PLAYER_MISSION_DATA	5	KProtocol.h
OBJ_ADD_SYNC	83	KProtocol.h
OBJ_SYNC_STATE	6	KProtocol.h
OBJ_SYNC_DIR	6	KProtocol.h
OBJ_SYNC_REMOVE	6	KProtocol.h
OBJ_CLIENT_SYNC_ADD	5	KProtocol.h
PLAYER_LEAD_EXP_SYNC	9	KProtocol.h
PLAYER_LEVEL_UP_SYNC	30	KProtocol.h
PLAYER_TEAMMATE_LEVEL_SYNC	6	KProtocol.h
PLAYER_ADD_BASE_ATTRIBUTE_COMMAND	6	KProtocol.h
PLAYER_ADD_SKILL_POINT_COMMAND	9	KProtocol.h
PLAYER_ATTRIBUTE_SYNC	14	KProtocol.h
PLAYER_SKILL_LEVEL_SYNC	25	KProtocol.h
PLAYER_EAT_ITEM_COMMAND	8	KProtocol.h
