addr	size	mangled	demangled
0804a100	23	.init_proc	.init_proc
0804a118	12	sub_804A118	sub_804A118
0804a128	6	.open	.open
0804a138	6	.pthread_mutex_destroy	.pthread_mutex_destroy
0804a148	6	._Znwj	._Znwj
0804a158	6	.strcat	.strcat
0804a168	6	.fread	.fread
0804a178	6	.fmod	.fmod
0804a188	6	.__ctype_toupper_loc	.__ctype_toupper_loc
0804a198	6	._ZNSs6resizeEjc	._ZNSs6resizeEjc
0804a1a8	6	.ungetc	.ungetc
0804a1b8	6	._ZSt29_Rb_tree_insert_and_rebalancebPSt18_Rb_tree_node_baseS0_RS_	._ZSt29_Rb_tree_insert_and_rebalancebPSt18_Rb_tree_node_baseS0_RS_
0804a1c8	6	.__ctype_tolower_loc	.__ctype_tolower_loc
0804a1d8	6	.socket	.socket
0804a1e8	6	.sscanf	.sscanf
0804a1f8	6	.__strtoul_internal	.__strtoul_internal
0804a208	6	.dlopen	.dlopen
0804a218	6	.access	.access
0804a228	6	._ZNSs12_M_leak_hardEv	._ZNSs12_M_leak_hardEv
0804a238	6	._ZNKSs7compareEPKc	._ZNKSs7compareEPKc
0804a248	6	._ZN9__gnu_cxx18__exchange_and_addEPVii	._ZN9__gnu_cxx18__exchange_and_addEPVii
0804a258	6	.mkdir	.mkdir
0804a268	6	.atan2	.atan2
0804a278	6	.strstr	.strstr
0804a288	6	.__strtod_internal	.__strtod_internal
0804a298	6	._ZNSt15_List_node_base6unhookEv	._ZNSt15_List_node_base6unhookEv
0804a2a8	6	.gethostname	.gethostname
0804a2b8	6	._ZSt17__throw_bad_allocv	._ZSt17__throw_bad_allocv
0804a2c8	6	._ZNSs6assignEPKcj	._ZNSs6assignEPKcj
0804a2d8	6	.__cxa_begin_catch	.__cxa_begin_catch
0804a2e8	6	.calloc	.calloc
0804a2f8	6	.__divdi3	.__divdi3
0804a308	6	.setlocale	.setlocale
0804a318	6	._ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_	._ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_
0804a328	6	.__strtol_internal	.__strtol_internal
0804a338	6	.isspace	.isspace
0804a348	6	.fputc	.fputc
0804a358	6	.fgets	.fgets
0804a368	6	.longjmp	.longjmp
0804a378	6	.fwrite	.fwrite
0804a388	6	.memcpy	.memcpy
0804a398	6	._ZSt20__throw_length_errorPKc	._ZSt20__throw_length_errorPKc
0804a3a8	6	.tan	.tan
0804a3b8	6	.write	.write
0804a3c8	6	.malloc	.malloc
0804a3d8	6	.frexp	.frexp
0804a3e8	6	.strlen	.strlen
0804a3f8	6	._ZNSsC1ERKSs	._ZNSsC1ERKSs
0804a408	6	.strcoll	.strcoll
0804a418	6	.__moddi3	.__moddi3
0804a428	6	.usleep	.usleep
0804a438	6	.fprintf	.fprintf
0804a448	6	.getcwd	.getcwd
0804a458	6	._ZSt28_Rb_tree_rebalance_for_erasePSt18_Rb_tree_node_baseRS_	._ZSt28_Rb_tree_rebalance_for_erasePSt18_Rb_tree_node_baseRS_
