c_symbol	lua_name	code_bytes	calls_in_scripts
LuaSetFightState	SetFightState	420	1466
LuaAddItem	AddItem	29	1197
LuaGetLocalDate	GetLocalDate	317	1192
LuaGetLevel	GetLevel	106	1076
LuaWriteLog	WriteLog	86	1033
LuaAddNote	AddNote	541	768
LuaTabFile_GetCell	TabFile_GetCell	518	703
LuaHaveMagic	HaveMagic	402	694
LuaAddMagic	AddMagic	672	664
LuaAddSkillState	AddSkillState	386	614
LuaHaveItem	HaveItem	327	493
LuaAddOwnExp	AddOwnExp	122	483
LuaSetPos	SetPos	294	481
LuaAddEventItem	AddEventItem	552	449
LuaCallPlayerFunction	CallPlayerFunction	504	447
LuaCalcFreeItemCellCount	CalcFreeItemCellCount	120	416
LuaGetBit	GetBit	132	397
LuaGetByte	GetByte	162	368
LuaAddNpc	AddNpc	1021	360
LuaDelMagic	DelMagic	321	357
LuaGetItemName	GetItemName	134	301
LuaDelItem	DelItem	265	293
LuaSetByte	SetByte	183	262
LuaAddGoldItem	AddGoldItem	27	252
LuaGetFightState	GetFightState	155	249
LuaGetItemProp	GetItemProp	276	235
LuaCalcEquiproomItemCount	CalcEquiproomItemCount	305	231
LuaGetCurServerTime	GetCurServerTime	69	221
LuaDelNpc	DelNpc	351	217
LuaConsumeEquiproomItem	ConsumeEquiproomItem	334	215
LuaTabFile_Load	TabFile_Load	185	211
LuaGetNextPlayer	GetNextPlayer	941	208
LuaGetTongName	GetTongName	173	208
LuaSyncItem	SyncItem	120	207
LuaDelItemEx	DelItemEx	265	191
LuaSetPKFlag	SetPKFlag	124	191
LuaSetBit	SetBit	206	190
LuaRemoveItemByIndex	RemoveItemByIndex	203	182
LuaSearchPlayer	SearchPlayer	119	177
LuaSetRank	SetRank	147	176
LuaAddGlobalNews	AddGlobalNews	346	173
LuaSale	Sale	482	171
LuaSetSpecItemParam	SetSpecItemParam	262	171
LuaGetExtPoint	GetExtPoint	137	162
LuaGetNpcName	GetNpcName	136	158
LuaGetTeamSize	GetTeamSize	162	157
LuaTONG_GetTaskValue	TONG_GetTaskValue	188	142
LuaGetNpcPos	GetNpcPos	268	141
LuaDisabledUseTownP	DisabledUseTownP	223	139
LuaLG_GetLeagueTask	LG_GetLeagueTask	408	126
LuaSetItemBindState	SetItemBindState	253	126
LuaTabFile_GetRowCount	TabFile_GetRowCount	156	124
LuaAddTimer	AddTimer	301	116
LuaOB_Release	OB_Release	501	112
LuaOB_Create	OB_Create	443	112
LuaCloseMission	CloseMission	981	111
LuaCalcItemCount	CalcItemCount	327	111
LuaAddGlobalCountNews	AddGlobalCountNews	472	109
LuaSetProtectTime	SetProtectTime	126	107
LuaRemoteExecute	RemoteExecute	1030	106
LuaStopMissionTimer	StopMissionTimer	743	103
LuaDynamicExecute	DynamicExecute	352	101
LuaSyncTaskValue	SyncTaskValue	141	96
LuaGetTong	GetTong	124	96
LuaStartMissionTimer	StartMissionTimer	831	92
LuaMsg2Tong	Msg2Tong	106	87
LuaAddNpcEx	AddNpcEx	952	85
LuaAskClientForNumber	AskClientForNumber	470	85
LuaDisabledStall	DisabledStall	219	84
LuaCastSkill	CastSkill	318	83
LuaDynamicExecuteByPlayer	DynamicExecuteByPlayer	545	81
LuaIsMyItem	IsMyItem	194	78
LuaRunMission	RunMission	629	75
LuaOpenBox	OpenBox	423	75
LuaConsumeItem	ConsumeItem	364	75
LuaForbidEnmity	ForbidEnmity	115	74
LuaSetNpcCurCamp	SetNpcCurCamp	163	73
LuaTONG_ApplySetTaskValue	TONG_ApplySetTaskValue	235	71
LuaAddMagicPoint	AddMagicPoint	195	71
LuaTWS_GetUseLevel	TWS_GetUseLevel	141	71
LuaSetNpcDeathScript	SetNpcDeathScript	172	70
LuaLG_ApplyDoScript	LG_ApplyDoScript	947	68
LuaAddStackItem	AddStackItem	516	68
LuaAddNpcSkillState	AddNpcSkillState	322	67
LuaLG_GetLeagueObjByRole	LG_GetLeagueObjByRole	179	67
LuaLG_GetLeagueObj	LG_GetLeagueObj	277	65
LuaST_SyncMiniMapObj	ST_SyncMiniMapObj	226	65
LuaSetNpcTimer	SetNpcTimer	227	62
LuaGetRepute	GetRepute	89	62
LuaGetItemStackCount	GetItemStackCount	201	60
LuaGetItemQuality	GetItemQuality	150	60
LuaFileName2Id	FileName2Id	125	58
LuaFormatTime2String	FormatTime2String	276	57
LuaGetItemCount	GetItemCount	55	57
LuaCountFreeRoomByWH	CountFreeRoomByWH	350	56
LuaSendTaskOrder	SendTaskOrder	161	56
LuaDelTimer	DelTimer	153	56
LuaAddStatData	AddStatData	205	55
LuaInitMission	InitMission	844	54
LuaTONG_ApplyAddTaskValue	TONG_ApplyAddTaskValue	235	53
LuaTONG_ApplyAddEventRecord	TONG_ApplyAddEventRecord	189	53
LuaLG_GetLeagueInfo	LG_GetLeagueInfo	195	52
LuaLeaveTeam	LeaveTeam	88	52
LuaGetGateWayClientID	GetGateWayClientID	34	49
LuaAskClientForString	AskClientForString	532	48
LuaSetTmpCamp	SetTmpCamp	281	47
LuaLG_GetMemberTask	LG_GetMemberTask	610	45
LuaDropItem	DropItem	866	44
LuaGetCityAreaName	GetCityAreaName	138	43
LuaGetPos	GetPos	243	41
LuaTONGM_GetName	TONGM_GetName	83	41
LuaAddItemEx	AddItemEx	255	40
LuaAddContribution	AddContribution	259	39
LuaGetCityOwner	GetCityOwner	207	38
LuaGetNpcId	GetNpcId	132	38
LuaLG_ApplySetLeagueTask	LG_ApplySetLeagueTask	27	38
LuaNpcChat	NpcChat	617	37
LuaTm2Time	Tm2Time	535	37
LuaClearMapNpcWithName	ClearMapNpcWithName	144	37
LuaSetItemMagicLevel	SetItemMagicLevel	228	35
LuaGetItemBindState	GetItemBindState	124	35
LuaAddMapTrap	AddMapTrap	433	34
LuaLG_GetMemberInfo	LG_GetMemberInfo	301	34
LuaIniFile_Load	IniFile_Load	133	34
LuaGetEnergy	GetEnergy	85	34
LuaTONG_GetMemberCount	TONG_GetMemberCount	202	33
LuaTONG_GetBuildLevel	TONG_GetBuildLevel	155	33
LuaClearMapNpc	ClearMapNpc	111	33
LuaWriteGoldLog	WriteGoldLog	385	32
LuaGetMapInfoFile	GetMapInfoFile	151	32
LuaClearMapObj	ClearMapObj	121	32
LuaGetProductRegion	GetProductRegion	82	31
LuaSetMoveSpeed	SetMoveSpeed	304	30
LuaGetBitTask	GetBitTask	244	30
LuaIniFile_GetData	IniFile_GetData	226	30
LuaPayExtPoint	PayExtPoint	186	30
LuaTWS_GetDayOutput	TWS_GetDayOutput	141	30
LuaGetContribution	GetContribution	115	30
LuaGetMagicPoint	GetMagicPoint	60	30
LuaLG_GetMemberCount	LG_GetMemberCount	128	29
LuaGetGlodEqIndex	GetGlodEqIndex	27	29
LuaGetNpcKind	GetNpcKind	137	28
LuaTableSDD_GetValue	TableSDD_GetValue	442	27
LuaSetTaskStatus	SetTaskStatus	336	27
LuaFormatTime2Number	FormatTime2Number	293	27
LuaSetNpcKind	SetNpcKind	284	27
LuaTONGM_GetFigure	TONGM_GetFigure	150	27
LuaClearMapTrap	ClearMapTrap	121	27
LuaGetSkillState	GetSkillState	155	26
LuaGetNpcSettingIdx	GetNpcSettingIdx	149	26
LuaRestoreOwnFeature	RestoreOwnFeature	77	26
LuaOB_PushInt	OB_PushInt	363	25
LuaShowLadder	ShowLadder	318	25
LuaCloseTask	CloseTask	275	25
LuaSetCurDurability	SetCurDurability	206	25
LuaForbitSkill	ForbitSkill	165	25
LuaDelCommonItem	DelCommonItem	263	24
LuaTWS_ApplyAddDayOutput	TWS_ApplyAddDayOutput	234	24
LuaGetTmpCamp	GetTmpCamp	168	24
LuaLeaveChannel	LeaveChannel	151	24
LuaRemoveSkillState	RemoveSkillState	135	24
LuaNW_SetTask	NW_SetTask	126	24
LuaGetPlayerCount	GetPlayerCount	34	24
LuaTONG_GetTongMap	TONG_GetTongMap	155	23
LuaCreateChannel	CreateChannel	142	23
LuaSaveNow	SaveNow	47	23
LuaGetCurrentTime	GetCurrentTime	42	23
LuaSetNpcAI	SetNpcAI	374	22
LuaGetSkillName	GetSkillName	168	22
LuaGetPlatinaLevel	GetPlatinaLevel	160	22
LuaTWS_IsOpen	TWS_IsOpen	149	22
LuaDeleteChannel	DeleteChannel	54	22
LuaSetBitTask	SetBitTask	276	21
LuaEnterChannel	EnterChannel	151	21
LuaLoadScript	LoadScript	81	21
LuaLG_ApplyAddLeague	LG_ApplyAddLeague	1643	20
LuaLG_SetLeagueInfo	LG_SetLeagueInfo	296	20
LuaLG_CreateLeagueObj	LG_CreateLeagueObj	282	20
LuaPushString	PushString	204	20
LuaGetJoinTongTime	GetJoinTongTime	115	20
LuaPopString	PopString	48	20
LuaLG_ApplyAppendMemberTask	LG_ApplyAppendMemberTask	27	20
LuaLGM_SetMemberInfo	LGM_SetMemberInfo	603	19
LuaGetCurrentMagicLevel	GetCurrentMagicLevel	345	19
LuaGetItemMagicLevel	GetItemMagicLevel	236	19
LuaMsg2Faction	Msg2Faction	229	19
LuaGetItemAllParams	GetItemAllParams	185	19
LuaLG_FreeLeagueObj	LG_FreeLeagueObj	182	19
LuaTabFile_UnLoad	TabFile_UnLoad	161	19
LuaTONG_GetDay	TONG_GetDay	155	19
LuaTONG_GetPauseState	TONG_GetPauseState	155	19
LuaGetItemGenTime	GetItemGenTime	121	19
LuaSyncNpc	SyncNpc	119	19
LuaGetTongMaster	GetTongMaster	105	19
LuaGetTongFigure	GetTongFigure	67	19
LuaChangeOwnFeature	ChangeOwnFeature	1152	18
LuaTableSDD_SetValue	TableSDD_SetValue	948	18
LuaTableSDD_Search	TableSDD_Search	513	18
LuaReduceEnergy	ReduceEnergy	227	18
LuaUseSilver	UseSilver	207	18
LuaGetRank	GetRank	104	18
LuaLG_ApplyAppendLeagueTask	LG_ApplyAppendLeagueTask	27	18
LuaReplaceString	ReplaceString	640	17
LuaGetNpcAroundPlayerList	GetNpcAroundPlayerList	411	17
LuaHideNpc	HideNpc	362	17
LuaGetItemMagicAttrib	GetItemMagicAttrib	277	17
LuaLGM_CreateMemberObj	LGM_CreateMemberObj	268	17
LuaGetSkillMaxLevel	GetSkillMaxLevel	163	17
LuaTONG_GetBuildFund	TONG_GetBuildFund	155	17
LuaSubWorldName	SubWorldName	142	17
LuaGetNpcCurCamp	GetNpcCurCamp	130	17
LuaGetIP	GetIP	120	17
LuaGetMaxDurability	GetMaxDurability	108	17
LuaStopTimer	StopTimer	45	17
LuaNpcWalk	NpcWalk	263	16
LuaGetRoomItems	GetRoomItems	239	16
LuaAddExtPoint	AddExtPoint	192	16
LuaNewItemEx	NewItemEx	163	16
LuaGetPlayerSex	GetPlayerSex	104	16
LuaAddLocalNews	AddLocalNews	346	15
LuaAddQualityItem	AddQualityItem	333	15
LuaTWS_GetFirstWorkshop	TWS_GetFirstWorkshop	234	15
LuaC_Random	C_Random	230	15
LuaTONG_ApplyAddBuildFund	TONG_ApplyAddBuildFund	203	15
LuaSetTimer	SetTimer	150	15
LuaNW_GetTask	NW_GetTask	116	15
LuaGetSkillMaxLevelAddons	GetSkillMaxLevelAddons	75	15
LuaNpcCastSkill	NpcCastSkill	480	14
LuaTONG_GetWeek	TONG_GetWeek	155	14
LuaGetCurDurability	GetCurDurability	108	14
LuaNW_IsEmperor	NW_IsEmperor	105	14
LuaGetTongMemberID	GetTongMemberID	77	14
LuaGetAroundNpcList	GetAroundNpcList	399	13
LuaTabFile_Search	TabFile_Search	360	13
LuaGetTmpValue	GetTmpValue	322	13
LuaAddEnergy	AddEnergy	229	13
LuaAppendString	AppendString	184	13
LuaTONG_GetWarBuildFund	TONG_GetWarBuildFund	155	13
LuaGetTripMode	GetTripMode	43	13
LuaLGM_ApplyAddMember	LGM_ApplyAddMember	1402	12
LuaGetTaskStatus	GetTaskStatus	279	12
LuaFormatTime2Date	FormatTime2Date	249	12
LuaLGM_FreeMemberObj	LGM_FreeMemberObj	181	12
LuaKickOutSelf	KickOutSelf	175	12
LuaSetDeathType	SetDeathType	115	12
LuaLG_AddMemberToObj	LG_AddMemberToObj	3240	11
LuaQueryWiseMan	QueryWiseMan	377	11
LuaSetNpcActiveRegion	SetNpcActiveRegion	304	11
LuaTime2Tm	Time2Tm	266	11
LuaString2Id	String2Id	97	11
LuaAddSkillExp	AddSkillExp	513	10
LuaSetTmpValue	SetTmpValue	375	10
LuaAddVerItem	AddVerItem	299	10
LuaGetCityWarBothSides	GetCityWarBothSides	224	10
LuaDisabledUseHeart	DisabledUseHeart	223	10
LuaSetMaxDurability	SetMaxDurability	222	10
LuaTONG_ApplyAddWarBuildFund	TONG_ApplyAddWarBuildFund	203	10
LuaAddPlayerEvent	AddPlayerEvent	197	10
LuaLG_GetFirstLeague	LG_GetFirstLeague	194	10
LuaTONG_ApplyAddHistoryRecord	TONG_ApplyAddHistoryRecord	189	10
LuaGetTaskMoney	GetTaskMoney	110	10
LuaGetTiredDegree	GetTiredDegree	95	10
LuaLG_ApplySetMemberTask	LG_ApplySetMemberTask	27	10
LuaAppointViceroy	AppointViceroy	450	9
LuaSetNpcAuraSkill	SetNpcAuraSkill	264	9
LuaHaveCommonItem	HaveCommonItem	263	9
LuaIniFile_SetData	IniFile_SetData	215	9
LuaOB_IsEmpty	OB_IsEmpty	194	9
LuaAddLeadExp	AddLeadExp	111	9
LuaGetCityArea	GetCityArea	107	9
LuaGetLocalTime	GetLocalTime	66	9
