lua_name	calls_in_scripts
Include	6853
Msg2Player	5488
Say	5349
floor	4638
Talk	4558
getn	3782
GetTask	3771
main	3095
SetTask	2864
GetName	2220
Param2String	2154
Link	2053
tinsert	1951
GetData	1910
random	1848
nt_getTask	1478
SkillExpFunc	1387
nt_setTask	1355
NewWorld	1336
n	1122
sqrt	1082
GetMissionV	1040
Dan_Deng	946
GetSkillLevelData	880
Describe	789
date	770
IncludeLib	755
SetMissionV	735
GetAccount	730
GetParam	659
CreateTaskSay	656
GiveAwardByList	651
f	639
Getskill_cost_v	630
mod	590
new	501
SetTaskTemp	490
SubWorldID2Idx	484
assertTrue	478
SubWorldIdx2ID	450
OnDeath	435
Msg2MSAll	411
i	397
ng	364
New	344
GetNpcParam	322
Pay	320
CreateNewSayEx	317
GetWorldPos	315
GetCurCamp	308
AddOptEntry	296
GetFaction	287
GetMSPlayerCount	284
SetNpcParam	276
SetCurCamp	272
GetCash	272
GetTaskTemp	271
BT_GetGameData	268
BT_GetData	267
GetMissionS	249
GetGlbValue	238
no	238
BT_SortWorldLadder	234
ao	232
GetIniFileData	231
BT_SetData	225
GetCamp	222
AddTermini	221
SetLogoutRV	219
Line	217
GetItemParam	216
getCell	215
strsub	214
Give	213
Conic	213
Extrac	213
FALSE	211
GetGameTime	199
strfind	194
SetRevPos	194
GetSeries	194
u	192
t	178
GetSex	178
SetNpcScript	174
GetLastFactionNumber	172
ForbidChangePK	170
SkillExp	168
OnTimer	167
Getaddphysicsdamage_p	166
GetGiveItemUnit	165
OnMessage	162
OnCancel	158
Getphysicsenhance_p	158
nt_gettask	156
Getattackratingenhance_p	156
GetLastDiagNpc	155
GetItemCountEx	154
GetTeamMember	149
SetPunish	146
SetGlbValue	143
m	141
inherit	140
doTaskEntity	137
AddRepute	136
Getdeadlystrikeenhance_p	134
SetCreateTeam	133
Sinh	132
SetDeathScript	129
gettabfiledata	129
yes	129
SetMissionS	127
ch	127
GetExp	126
tonginfo	125
Getphysicsdamage_v	124
BT_GetTypeBonus	123
getBitTask	120
Earn	119
SelectDescribe	118
_Message	117
doFunByPlayer	115
default_talk	111
GetAttackRating	111
GetDefense	111
Destroy	110
Show	108
ITEM_SetExpiredTime	106
PlayerActionLog	102
AddTask	101
SetFaction	101
_init	100
IsCharged	100
GiveItemUI	99
wlls_descript	99
GetTabFileData	97
nt_settask	97
Getcolddamage_v	96
GetLife	95
ExpAward	95
biwu_getdata	95
SetCamp	94
PushObject	92
bt_addtotalpoint	91
MessageOut	91
strfill_center	90
callPlayerFunction	90
NpcName2Replace	89
IsActive	87
clone	87
GetDesc	86
Getfiredamage_v	86
Getlightingdamage_v	86
Msg2SubWorld	84
AddTaskDaily	84
Write	84
p	83
Get	83
ST_GetTransLifeCount	82
o	81
GetMinDamage	80
GetMaxDamage	80
PARTNER_GetCurPartner	79
c	78
OnTime	78
bt_getadata	77
GetBitValue	76
TaskName	75
GetMasterTaskState	75
gb_GetTask	74
Getpoisondamage_v	74
basemission_CallNpc	73
bt_str2xydata	73
ShowMessage	72
GetPosition	72
totempole_dec	72
ResetTask	70
OnLeave	70
PARTNER_AddFightPartner	70
join	69
PushByType	69
AddPartnerExp	69
Close	68
CountDoubleMode	68
AddExp	67
Msg2Map	67
usepack	66
IL	66
BT_BroadSelf	66
Enter	66
ForbitTrade	66
BT_SortLadder	65
PopObject	64
y	63
IsPickable	63
log10	63
CheckTask	62
DoFunByPlayer	62
GetMinAndSec	62
s	62
PickUp	62
PARTNER_AddSkill	62
log	62
assertEquals	61
SetTempRevPos	61
biwu_loadfile	61
PARTNER_GetTaskValue	59
bt_addtrap	58
RemoteExc	57
gettabfileheight	57
Start	57
GetPartnerTask	57
Push	56
nh	55
BT_SetView	55
EndMission	55
GetMapId	55
GetNpcLevelData	55
GetNpcKeyData	55
AddMSPlayer	54
BT_SetGameData	54
PARTNER_GetLevel	54
PARTNER_CallOutCurPartner	54
TaskEntity	54
call	53
gb_SetTask	53
strlen	53
GetTabFileHeight	53
OtherPlayer	53
getPlayerInfo	53
InitTaskGroup	52
GetAward	52
ComposeDailog	52
bt_add_a_diagnpc	52
GetDistanceRadius	52
wlls_npcname	52
AddActivity	51
NpcIdx2PIdx	50
Log	50
ceil	49
BroadCast	49
SetPartnerTask	49
othertong	48
setBitTask	47
ITEM_GetExpiredTime	47
GameOver	47
GetRewindTaskState	47
DelMSPlayer	46
write	45
OpenMission	45
CheckMaterial	45
safeshow	45
tl_gettaskstate	45
Leave	45
GetTaskDailyCount	44
allbrother_0801_FindNpcTaskDialog	44
allbrother_0801_CheckIsDialog	44
GetPlayer	44
player	44
Getadddefense_v	44
NumberParamTrans	43
wl_FinalTakeMatch	43
Proceed	43
PARTNER_Count	43
Init	42
Title_ActiveTitle	42
SendData	42
Reg	42
ReturnRepute	42
tl_print	42
SetMemberTask	42
GetType	41
Ladder_NewLadder	41
GetItem	41
Compose	41
WriteTaskLog	41
CheckCondition	40
pack	40
OnLevelUp	40
Find	40
Getattackrating_p	40
Dialog	39
CheckTaskDaily	38
greatnight_huang_event	38
isActive	38
BuyItem	38
IsCaptain	38
GetRoom	38
Getdeadlystrike_p	38
branchprize	38
mar_addmissionpoint	37
Prise	37
sjskill_addskill	37
GetPlayerRev	37
AddExp_Skill_Extend	37
WriteInfTB	37
GetLucky	36
learn	36
ErrorMsg	36
RV	36
losemessengertask	36
CheckDate	35
split	35
Y	35
bt_getgn_awardtimes	35
cancel	35
xiaoyang	35
LogError	35
Ladder_GetLadderInfo	34
CheckFreeBagCell	34
add	34
Msg2Team	34
GetFieldList	34
Getskill_eventskilllevel	34
Getstun_p	34
ex_add_all	34
messenger_middletime	34
getRelativeDay	34
Join	33
curpack	33
addTask	33
AddDialog	33
sf_winbouns	33
TaskNo	33
mainMenu	33
Msg2MSGroup	33
getadata	33
Linear	33
ConsumeMaterial	32
strsplit	32
sendMessage	32
groupsort	32
SetLevelData	32
PayMasterAward	32
dostring	31
add_tw	31
Create	31
storm_point2str	31
tl_gettasktablecol	31
LeaveGame	31
GetLastAddFaction	31
EatMedicine	31
TranItemNumber	31
size	31
_M	31
GetStatusEnhance_V	31
NewType	30
SetBitValue	30
Title_AddTitle	30
BT_SetTypeBonus	30
closefile	30
safe_tonumber	30
add_wd	30
add_em	30
add_sl	30
add_cy	30
add_tm	30
add_kl	30
AddStation	30
wlls_get_desc	30
Getfastwalkrun_p	30
_dbgMsg	30
openfile	29
tl_addPlayerExp	29
IsActDate	29
safestr	29
add_wu	29
L30_prise	29
rawset	29
take_xp_equip_92	29
CheckPermission	29
tongwar_getdata	29
gsub	28
OpenByConfig	28
bt_getsignpos	28
bt_RankEffect	28
Kim	28
IsPlayerEligible	28
PARTNER_AddExp	28
GetReputeLevel	28
tl_savetalkvalue	28
GetDungeon	28
wlls_getcityinfo	28
Getseriesdamage_p	28
Skill150Dialog	28
ST_IsTransLife	27
sf_onplayerleave	27
OnClose	27
select	27
TWS_GetType	27
UseItem	26
sort	26
dofile	26
GetMSRestTime	26
OnNewWorld	26
OnNewWorldDefault	26
OnLeaveWorld	26
OnLeaveWorldDefault	26
TRUE	26
__notify	26
OnEnterMap	26
OnLeaveMap	26
login_add	26
getFrame2MinAndSec	26
add_tr	26
GetTaskTableCol	26
Clear	26
dungeon	26
CheckTime	25
PlayerAwardLog	25
GetMaterialList	25
replace	25
add_gb	25
want2watchseat	25
PARTNER_SetTaskValue	25
TaskAward	25
Open	25
ForbitAura	25
FindField	25
Append	25
toSprLinkStr	25
PARTNER_GetName	25
Getcoldres_p	25
PayRewindAward	25
partner_checkdo	25
Add	24
min	24
isMaxBitTaskValue	24
RecordBTCount_Win	24
totext	24
ngoa	24
makeItemFilePath	24
L60_prise	24
L40_prise	24
DelNpcSafe	24
checkbattlerule	24
take_xp_equip_2	24
OnStart	24
isExpired	24
AddProp	23
setUp	23
tearDown	23
add_dialognpc	23
tl_settaskstate	23
L10_prise	23
L20_prise	23
L50_prise	23
JoinCamp	23
cityid_to_lgname	23
MoveToTrap	23
SetMasterTaskState	23
GenParam	23
SetPropState	23
GetTaskDaily	22
abs	22
Use	22
JoinMission	22
getRow	22
BaseP	22
WorthP	22
check_level	22
Ngoa	22
SetLastFactionNumber	22
myplayersex	22
wanttrangbi	22
nt_getCamp	22
itemmapcheck	22
doFunInWorld	22
look_list_fac	22
InRoom	22
OnDestroy	22
TWS_GetLevel	22
tongwar_setdata	22
YDBZ_sdl_getTaskByte	22
Quadratic	22
Getlifemax_p	22
Getmagic_skill_cost_v	22
tl_gettalkvalue	22
reward_cleartaskvalue	22
PIdx2NpcIdx	21
Noel	21
bt_adddiagnpc	21
PutMessage	21
genWalkPath	21
ResetTaskForDay	21
check_pay	21
valentine2009_giveErrorMsg	21
GetLoop	21
GetShituLeagueId	21
checkmap	21
tabadddiagnpc	21
GetLeavePos	21
Getfireres_p	21
Getlightingres_p	21
CheckGetItem	21
partner_edu	21
TimNhanhBossST	21
givetask	21
getglobal	20
SubWorldIdx2MapCopy	20
bt_camp_getbonus	20
dropItem	20
PIdx2MSDIdx	20
getTask	20
biwu_setdata	20
RndItemProp	20
StartMissions	20
return_complete	20
CheckIsCanGet150SkillTask	20
setpos_step2	20
gopos_step2	20
SetForbitItem	20
checkCondition	20
IsTakeStunt	20
tremove	19
gb_GetModule	19
OnEvent	19
GetActivityTask	19
g_AskClientNumberEx	19
an	19
storm_end	19
BT_LeaveBattle	19
getTaskItemName	19
tl_counttasklinknum	19
SetBit2GetItem	19
Sa	19
logplayer	19
del_all_skill	19
ITEM_GetItemRandSeed	19
close	19
return_yes	19
getCompoundParam	19
getndata	19
broadcast	19
AddStep	19
SetPasstSkillLevel	19
SetPhysicalDamageBase	19
SetPoisonDamageBase	19
SetColdDamageBase	19
SetFireDamageBase	19
SetLightingDamageBase	19
GetStatus_V	19
npc_string	19
