class	method	code_bytes	status	source_file
KPlayer	TradeDecision	9269	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	KPlayer	5960	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ServerPickUpItem	5224	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	LoadPlayerItemList	4554	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	~KPlayer	4511	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	Load	2823	RE	
KPlayer	Active	2592	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	PkPunish	2420	RE	
KPlayer	Release	2207	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ExecuteScript	2032	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ServerThrowAwayItem	1626	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SavePlayerBaseInfo	1621	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	SavePlayerItemList	1613	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	LevelUp	1540	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	AddExp	1538	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	AddSkillPoint	1413	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	AddTeamMember	1398	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	UpdateDBPlayerInfo	1272	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	CheckExpiredTimeItem	1256	RE	
KPlayer	TeamChangeCaptain	1177	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	c2sTradeReplyStart	1090	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	LoadPlayerStateList	1001	RE	
KPlayer	SavePlayerStateList	974	RE	
KPlayer	LoadDBPlayerInfo	940	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	AddSelfExp	860	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	TRepairEquip	792	RE	
KPlayer	ExecuteScriptValist	759	RE	
KPlayer	ProcessGiveItemUI	710	RE	
KPlayer	LaunchPlayer	680	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SyncLevelUp	663	RE	
KPlayer	SendSyncData	641	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	Revive	629	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	_ExecuteScript	629	RE	
KPlayer	DirectAddExp	607	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ProcessChangeExtPoint	605	RE	
KPlayer	OfflineLive	597	RE	
KPlayer	ProcessPlayerSelectFromUI	585	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	TeamKickOne	579	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	TeamDismiss	561	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	UpdateEquipLeftUageTime	546	RE	
KPlayer	SendCurNormalSyncData	539	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	_FillViewItemDetailInfo	522	RE	
KPlayer	S2CSendTeamInfo	516	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ServerMoveItem	512	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	S2CSendAddTeamInfo	511	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	DialogNpc	486	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SendSelfTeamInfo	485	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	AddItemOnBody	482	RE	
KPlayer	RepairItem	472	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	WriteLog	468	RE	
KPlayer	FormatCallNotReturn	461	RE	
KPlayer	SendSyncCurPlayer	454	RE	
KPlayer	Add120SkillExp	453	RE	
KPlayer	LoadPlayerTaskList	446	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	DoScript	423	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SetBaseResistData	421	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SavePlayerTaskList	409	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	RepairGoldEquip	397	RE	
KPlayer	UpdateRetScoreForGoldCoin	395	RE	
KPlayer	LeaveTeam	389	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	CancelTrade	384	RE	
KPlayer	BuyItem	383	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	MaskItem	381	RE	
KPlayer	SendEquipItemInfo	373	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	GetExpPercent	357	RE	
KPlayer	SetFirstDamage	347	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SyncTaskValueMoreToClient	347	RE	
KPlayer	TeamReplyInvite	340	RE	
KPlayer	UpdateRespect	333	RE	
KPlayer	EatItem	325	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	GetAboutPos	313	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	LoadPlayerFightSkillList	309	PORT	Sources/Core/Src/KPlayerDBFuns.cpp
KPlayer	TobeExchangeServer	303	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	AddBaseEngergy	299	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	AddBaseVitality	299	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SendSyncData_Skill	298	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SetRevivalPos	296	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ReCalcEquip	294	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	SendSyncResist	291	RE	
KPlayer	LoadPlayerLifeSkilllList	285	RE	
KPlayer	TradeApplyOpen	285	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	StackExp	284	RE	
KPlayer	LoginDelaySync	278	RE	
KPlayer	TradeApplyStart	275	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	DoTransLife	274	RE	
KPlayer	ChatTransmitApplyAddFriend	272	RE	
KPlayer	UseSilver	269	RE	
KPlayer	UseTownPortal	264	PORT	Sources/Core/Src/KPlayer.cpp
KPlayer	ApplyBindOperate	260	RE	
